Nr;Name;Typ;Evaluation;WP;KP;Angriff;Verteidigung;Distanz;Ei
1;Bisasam;Pflanze,Gift;Bisaknosp,25,Bisasam,,;1071;90;126;126;3;2
2;Bisaknosp;Pflanze,Gift;Bisaflor,100,Bisasam,,;1632;120;156;158;3;
3;Bisaflor;Pflanze,Gift;;2580;160;198;200;3;
4;Glumanda;Feuer;Glutexo,25,Glumanda,,;955;78;128;108;3;2
5;Glutexo;Feuer;Glurak,100,Glumanda,,;1577;116;160;140;3;
6;Glurak;Feuer,Flug;;2606;156;212;182;3;
7;Schiggy;Wasser;Schillok,25,Schiggy,,;1008;88;112;142;3;2
8;Schillok;Wasser;Turtok,100,Schiggy,,;1582;118;144;176;3;
9;Turtok;Wasser;;2542;158;186;222;3;
10;Raupy;Käfer;Safcon,12,Raupy,,;443;90;62;66;1;2
11;Safcon;Käfer;Smettbo,50,Raupy,,;477;100;56;86;1;
12;Smettbo;Käfer,Flug;;1454;120;144;144;1;
13;Hornliu;Käfer,Gift;Kokuna,12,Hornliu,,;449;80;68;64;1;2
14;Kokuna;Käfer,Gift;Bibor,50,Hornliu,,;485;90;62;82;1;
15;Bibor;Käfer,Gift;;1439;130;144;130;1;
16;Taubsi;Normal,Flug;Tauboga,12,Taubsi,,;679;80;94;90;1;
17;Tauboga;Normal,Flug;Tauboss,50,Taubsi,,;1223;126;126;122;1;
18;Tauboss;Normal,Flug;;2091;166;170;166;1;
19;Rattfratz;Normal;Rattikarl,25,Rattfratz,,;581;60;91;86;1;
20;Rattikarl;Normal;;1444;110;146;150;1;
21;Habitak;Normal,Flug;Ibitak,50,Habitak,,;686;80;102;78;1;
22;Ibitak;Normal,Flug;;1746;130;168;146;1;
23;Rettan;Gift;Arbok,50,Rettan,,;824;70;112;112;3;2
24;Arbok;Gift;;1767;120;166;166;3;
25;Pikachu;Elektro;Raichu,50,Pikachu,,;887;70;124;108;1;
26;Raichu;Elektro;;2028;120;200;154;1;
27;Sandan;Boden;Sandamer,50,Sandan,,;798;100;90;114;3;5
28;Sandamer;Boden;;1810;150;150;172;3;
29;Nidoran(weiblich);Gift;Nidorina,25,Nidoran(weiblich),,;876;110;100;104;3;2
30;Nidorina;Gift;Nidoqueen,100,Nidoran(weiblich),,;1404;140;132;136;3;
31;Nidoqueen;Gift,Boden;;2485;180;184;190;3;
32;Nidoran(männlich);Gift;Nidorino,25,Nidoran(männlich),,;843;94;110;92;3;2
33;Nidorino;Gift;Nidoking,100,Nidoran(männlich),,;1372;122;142;128;3;
34;Nidoking;Gift,Boden;;2475;162;204;170;3;
35;Piepi;Fee;Pixi,50,Piepi,,;1200;140;116;124;1;
36;Pixi;Fee;;2397;190;178;178;1;
37;Vulpix;Feuer;Vulnona,50,Vulpix,,;831;76;106;118;3;5
38;Vulnona;Feuer;;2188;146;176;194;3;
39;Pummeluff;Normal,Fee;Knuddeluff,50,Pummeluff,,;917;230;98;54;1;
40;Knuddeluff;Normal,Fee;;2177;280;168;108;1;
41;Zubat;Gift,Flug;Golbat,25,Zubat,,;642;80;88;90;1;
42;Golbat;Gift,Flug;Iksbat,100,Zubat,,;1921;150;164;164;1;
43;Myrapla;Pflanze,Gift;Duflor,25,Myrapla,,;1148;90;134;130;3;2
44;Duflor;Pflanze,Gift;Giflor,100,Myrapla,,/Blubella,100,Myrapla,1,Sonnenstein;1689;120;162;158;3;
45;Giflor;Pflanze,Gift;;2492;150;202;190;3;
46;Paras;Käfer,Pflanze;Parasek,50,Paras,,;916;70;122;120;3;5
47;Parasek;Käfer,Pflanze;;1747;120;162;170;3;
48;Bluzuk;Käfer,Gift;Omot,50,Bluzuk,,;1029;120;108;118;3;
49;Omot;Käfer,Gift;;1890;140;172;154;3;
50;Digda;Boden;Digdri,50,Digda,,;456;20;108;86;3;2
51;Digdri;Boden;;1168;70;148;140;3;
52;Mauzi;Normal;Snobilikat,50,Mauzi,,;756;80;104;94;3;
53;Snobilikat;Normal;;1631;130;156;146;3;
54;Enton;Wasser;Entoron,50,Enton,,;1109;100;132;112;3;5
55;Entoron;Wasser;;2386;160;194;176;3;
56;Menki;Kampf;Rasaff,50,Menki,,;878;80;122;96;3;
57;Rasaff;Kampf;;1864;130;178;150;3;
58;Fukano;Feuer;Arkani,50,Fukano,,;1335;110;156;110;3;5
59;Arkani;Feuer;;2983;180;230;180;3;
60;Quapsel;Wasser;Quaputzi,25,Quapsel,,;795;80;108;98;3;5
61;Quaputzi;Wasser;Quappo,100,Quaputzi,,/Quaxo,100,Quaputzi,1,King-Stein;1340;130;132;132;3;
62;Quappo;Wasser,Kampf;;2505;180;180;202;3;
63;Abra;Psycho;Kadabra,25,Abra,,;600;50;110;76;3;2
64;Kadabra;Psycho;Simsala,100,Abra,,;1131;80;150;112;3;
65;Simsala;Psycho;;1813;110;186;152;3;
66;Machollo;Kampf;Maschock,25,Machollo,,;1089;140;118;96;3;2
67;Maschock;Kampf;Machomei,100,Machollo,,;1760;160;154;144;3;
68;Machomei;Kampf;;2594;180;198;180;3;
69;Knofensa;Pflanze,Gift;Ultrigaria,25,Knofensa,,;1117;100;158;78;3;
70;Ultrigaria;Pflanze,Gift;Sarzenia,100,Knofensa,,;1723;130;190;110;3;
71;Sarzenia;Pflanze,Gift;;2530;160;222;152;3;
72;Tentacha;Wasser,Gift;Tentoxa,50,Tentacha,,;905;80;106;136;3;5
73;Tentoxa;Wasser,Gift;;2220;160;170;196;3;
74;Kleinstein;Gestein,Boden;Georok,25,Kleinstein,,;849;80;106;118;1;2
75;Georok;Gestein,Boden;Geowaz,100,Kleinstein,,;1433;110;142;156;1;
76;Geowaz;Gestein,Boden;;2303;160;176;198;1;
77;Ponita;Feuer;Gallopa,50,Ponita,,;1516;100;168;138;3;5
78;Gallopa;Feuer;;2199;130;200;170;3;
79;Flegmon;Wasser,Psycho;Lahmus,50,Flegmon,,/Laschoking,50,Flegmon,1,King-Stein;1218;180;110;110;3;2
80;Lahmus;Wasser,Psycho;;2597;190;184;198;3;
81;Magnetilo;Elektro,Stahl;Magneton,50,Magnetilo,,;890;50;128;138;3;5
82;Magneton;Elektro,Stahl;;1879;100;186;180;3;
83;Porenta;Normal,Flug;;1263;104;138;180;3;
84;Dodu;Normal,Flug;Dodri,50,Dodu,,;855;70;126;96;3;
85;Dodri;Normal,Flug;;1836;120;182;150;3;
86;Jurob;Wasser;Jugong,50,Jurob,,;1107;130;104;138;3;5
87;Jugong;Wasser,Eis;;2145;180;156;192;3;
88;Sleima;Gift;Sleimok,50,Sleima,,;1284;160;124;110;3;5
89;Sleimok;Gift;;2602;210;180;188;3;
90;Muschas;Wasser;Austos,50,Muschas,,;822;60;120;112;3;5
91;Austos;Wasser,Eis;;2052;100;196;196;3;
92;Nebulak;Geist,Gift;Alpollo,25,Nebulak,,;804;60;136;82;3;2
93;Alpollo;Geist,Gift;Gengar,100,Nebulak,,;1380;90;172;118;3;
94;Gengar;Geist,Gift;;2078;120;204;156;3;
